word,morphemes
fahalefy,"[""faha"", ""lefy""]"
fahalehibe,"[""faha"", ""lehibe""]"
fahalempona,"[""faha"", ""lempona""]"
fahalemponana,"[""faha"", ""lempona"", ""na""]"
fahalemy,"[""faha"", ""lemy""]"
fahaleo,"[""faha"", ""leo""]"
fahaleovana,"[""faha"", ""leo"", ""ana""]"
fahalianana,"[""faha"", ""liana"", ""na""]"
fahalo,"[""faha"", ""lo""]"
fahalonilony,"[""faha"", ""lony"", ""lony""]"
fahaloto,"[""faha"", ""loto""]"
fahalotoana,"[""faha"", ""loto"", ""ana""]"
fahalotolotoana,"[""faha"", ""loto"", ""loto"", ""ana""]"
fahalova,"[""faha"", ""lova""]"
fahalovana,"[""faha"", ""lo"", ""ana""]"
fahalozana,"[""faha"", ""loza"", ""na""]"
fahamafesana,"[""faha"", ""m"", ""ha"", ""fy"", ""ana""]"
fahamahinana,"[""faha"", ""mahina"", ""na""]"
fahamaikana,"[""faha"", ""m"", ""aika"", ""na""]"
fahamaimbo,"[""faha"", ""ma"", ""imbo""]"
fahamaimboana,"[""faha"", ""ma"", ""imbo"", ""ana""]"
fahamainana,"[""faha"", ""m"", ""haina"", ""na""]"
fahamaivanana,"[""faha"", ""maivana"", ""na""]"
fahamaizana,"[""faha"", ""m"", ""hay"", ""ana""]"
fahamaizimaizinana,"[""faha"", ""m"", ""a"", ""izina"", ""m"", ""a"", ""izina"", ""na""]"
fahamaizina,"[""faha"", ""m"", ""a"", ""izina""]"
fahamaizinana,"[""faha"", ""m"", ""a"", ""izina"", ""na""]"
fahamalina,"[""faha"", ""malina""]"
fahamalinana,"[""faha"", ""malina"", ""na""]"
fahamamiana,"[""faha"", ""m"", ""hamy"", ""ana""]"
fahamamoana,"[""faha"", ""m"", ""hamo"", ""ana""]"
fahamandimandina,"[""faha"", ""man"", ""dina"", ""man"", ""dina""]"
fahamandina,"[""faha"", ""man"", ""dina""]"
fahamandinana,"[""faha"", ""man"", ""dina"", ""na""]"
fahamanga,"[""faha"", ""manga""]"
fahamangana,"[""faha"", ""manga"", ""na""]"
fahamanirana,"[""faha"", ""m"", ""hanitra"", ""ana""]"
fahamanja,"[""faha"", ""manja""]"
fahamanjana,"[""faha"", ""manja"", ""na""]"
fahamanta,"[""faha"", ""manta""]"
fahamantana,"[""faha"", ""manta"", ""na""]"
fahamaola,"[""faha"", ""ma"", ""ola""]"
fahamaolana,"[""faha"", ""ma"", ""ola"", ""na""]"
fahamaonjanana,"[""faha"", ""maonjana"", ""na""]"
fahamaotinana,"[""faha"", ""maotina"", ""na""]"
fahamaotona,"[""faha"", ""maotona""]"
fahamaotonana,"[""faha"", ""maotona"", ""na""]"
fahamara,"[""fa"", ""ha"", ""mara""]"
fahamarainana,"[""faha"", ""maraina"", ""na""]"
fahamarana,"[""fa"", ""ha"", ""mara"", ""na""]"
fahamarinana,"[""faha"", ""m"", ""arina"", ""na""]"
fahamaro,"[""faha"", ""maro""]"
fahamaroana,"[""faha"", ""maro"", ""ana""]"
fahamasahana,"[""faha"", ""masaka"", ""ana""]"
fahamasaka,"[""faha"", ""masaka""]"
fahamasinana,"[""faha"", ""m"", ""hasina"", ""na""]"
fahamatorana,"[""faha"", ""matotra"", ""ana""]"
fahamavomavoana,"[""faha"", ""mavo"", ""mavo"", ""ana""]"
fahambaniana,"[""faha"", ""ambany"", ""ana""]"
fahamboniana,"[""faha"", ""ambony"", ""ana""]"
fahambony,"[""faha"", ""ambony""]"
fahameloka,"[""faha"", ""m"", ""heloka""]"
fahamenamenana,"[""faha"", ""mena"", ""mena"", ""na""]"
fahamenarana,"[""faha"", ""m"", ""henatra"", ""ana""]"
fahametezana,"[""faha"", ""m"", ""ety"", ""ana""]"
fahamiramiranana,"[""faha"", ""mirana"", ""mirana"", ""na""]"
fahamiranana,"[""faha"", ""mirana"", ""na""]"
fahamomoka,"[""fa"", ""hamomoka""]"
fahamongo,"[""faha"", ""mongo""]"
fahamongoana,"[""faha"", ""mongo"", ""ana""]"
fahamontorana,"[""faha"", ""montotra"", ""ana""]"
fahamontotra,"[""faha"", ""montotra""]"
fahamora,"[""faha"", ""mora""]"
fahamorana,"[""faha"", ""mora"", ""na""]"
fahampiana,"[""faha"", ""ampy"", ""ana""]"
fahanahana,"[""fa"", ""hanahana""]"
fahanana,"[""fahana"", ""ana""]"
fahandrianana,"[""faha"", ""andry"", ""ana"", ""na""]"
fahandro,"[""fa"", ""handro""]"
fahangara,"[""faha"", ""ngara""]"
fahangetroka,"[""faha"", ""ngetroka""]"
fahangeza,"[""faha"", ""ngeza""]"
fahangezana,"[""faha"", ""ngeza"", ""na""]"
fahangilo,"[""faha"", ""ngilo""]"
fahangita,"[""faha"", ""ngita""]"
fahangitana,"[""faha"", ""ngita"", ""na""]"
fahangoly,"[""faha"", ""ngoly""]"
fahanify,"[""faha"", ""nify""]"
fahanoanana,"[""faha"", ""noana"", ""na""]"
fahanto,"[""fa"", ""hanto""]"
fahantrana,"[""faha"", ""antra"", ""na""]"
fahantsa,"[""faha"", ""antsa""]"
fahapahatra,"[""fahatra"", ""fahatra""]"
fahapintsampintsana,"[""faha"", ""pintsampintsana""]"
fahapintsana,"[""fa"", ""hapintsana""]"
fahaporetana,"[""faha"", ""poritra"", ""ana""]"
fahapotrahana,"[""faha"", ""potraka"", ""ana""]"
faharafoka,"[""faha"", ""rafoka""]"
faharaohe,"[""faha"", ""raohe""]"
faharariana,"[""faha"", ""rary"", ""ana""]"
faharatsiana,"[""faha"", ""ratsy"", ""ana""]"
faharava,"[""faha"", ""rava""]"
faharavoravoana,"[""faha"", ""ravo"", ""ravo"", ""ana""]"
faharazana,"[""faha"", ""razana""]"
faharazodrazoka,"[""faha"", ""razoka"", ""razoka""]"
faharefo,"[""faha"", ""refo""]"
fahareparepa,"[""faha"", ""reparepa""]"
faharerahana,"[""faha"", ""reraka"", ""ana""]"
faharesy,"[""faha"", ""resy""]"
faharevaka,"[""faha"", ""revaka""]"
fahariana,"[""faha"", ""ary"", ""ana""]"
faharihitra,"[""faha"", ""rihitra""]"
faharikoriko,"[""faha"", ""rikoriko""]"
faharikorikoana,"[""faha"", ""rikoriko"", ""ana""]"
faharingana,"[""faha"", ""ringana""]"
faharisarisa,"[""faha"", ""risa"", ""risa""]"
faharisarisana,"[""faha"", ""risa"", ""risa"", ""na""]"
faharisihana,"[""faha"", ""risika"", ""ana""]"
faharisika,"[""faha"", ""risika""]"
faharitana,"[""faha"", ""ritra"", ""ana""]"
faharivo,"[""faha"", ""rivo""]"
faharivo,"[""faha"", ""arivo""]"
faharo,"[""fa"", ""haro""]"
faharoa,"[""faha"", ""roa""]"
faharokoroko,"[""faha"", ""rokoroko""]"
faharokorokoana,"[""faha"", ""rokoroko"", ""ana""]"
faharomotana,"[""faha"", ""romotra"", ""ana""]"
faharorohana,"[""faha"", ""roroka"", ""ana""]"
faharoroka,"[""faha"", ""roroka""]"
faharotsaka,"[""faha"", ""rotsaka""]"
faharovitana,"[""faha"", ""rovitra"", ""ana""]"
fahary,"[""faha"", ""ary""]"
fahasahiana,"[""faha"", ""sahy"", ""ana""]"
fahasahiranana,"[""faha"", ""sahirana"", ""na""]"
fahasalama,"[""faha"", ""salama""]"
fahasalamana,"[""faha"", ""salama"", ""na""]"
fahasambarana,"[""faha"", ""sambatra"", ""ana""]"
fahasamihafa,"[""faha"", ""samihafa""]"
fahasamihafana,"[""faha"", ""samihafa"", ""na""]"
fahasanganehana,"[""faha"", ""sanganehana""]"
fahasaozanina,"[""faha"", ""saozanina""]"
fahasarotana,"[""faha"", ""sarotra"", ""ana""]"
fahasarotra,"[""faha"", ""sarotra""]"
fahasarotsarotana,"[""faha"", ""sarotra"", ""sarotra"", ""ana""]"
fahasasarana,"[""faha"", ""sasatra"", ""ana""]"
fahasemporana,"[""faha"", ""sempotra"", ""ana""]"
fahasiahana,"[""faha"", ""siaka"", ""ana""]"
fahasiaka,"[""faha"", ""siaka""]"
fahasimbana,"[""faha"", ""simba"", ""na""]"
fahasiso,"[""faha"", ""siso""]"
fahasitranana,"[""faha"", ""sitrana"", ""na""]"
fahasivy,"[""faha"", ""sivy""]"
fahasoavana,"[""faha"", ""soa"", ""ana""]"
fahasola,"[""faha"", ""sola""]"
fahasolana,"[""faha"", ""sola"", ""na""]"
fahasondrianana,"[""faha"", ""sondriana"", ""na""]"
fahasosorana,"[""faha"", ""sosotra"", ""ana""]"
fahatadidiana,"[""faha"", ""tadidy"", ""ana""]"
fahatafintohinana,"[""faha"", ""tafintohina"", ""na""]"
fahatahirana,"[""fa"", ""hatahitra"", ""ana""]"
fahatahorana,"[""faha"", ""tahotra"", ""ana""]"
fahatairana,"[""faha"", ""taitra"", ""ana""]"
fahatake,"[""fa"", ""hatake""]"
fahatalanjonana,"[""faha"", ""ta"", ""lanjona"", ""na""]"
fahatanjahana,"[""faha"", ""tanjaka"", ""ana""]"
fahatanjaka,"[""faha"", ""tanjaka""]"
fahatanora,"[""faha"", ""tanora""]"
fahatanorana,"[""faha"", ""tanora"", ""na""]"
fahatanterahana,"[""faha"", ""tanteraka"", ""ana""]"
fahataperana,"[""faha"", ""tapitra"", ""ana""]"
fahatarana,"[""faha"", ""tara"", ""na""]"
fahatelo,"[""faha"", ""telo""]"
fahaterahana,"[""faha"", ""teraka"", ""ana""]"
fahateza,"[""faha"", ""teza""]"
fahatezana,"[""faha"", ""teza"", ""na""]"
fahatezerana,"[""faha"", ""tezitra"", ""ana""]"
fahatezitra,"[""faha"", ""tezitra""]"
fahatokana,"[""faha"", ""toka"", ""na""]"
fahatokiana,"[""faha"", ""toky"", ""ana""]"
fahatomombanana,"[""faha"", ""t"", ""om"", ""omba"", ""ana"", ""na""]"
fahatondrahana,"[""faha"", ""tondraka"", ""ana""]"
fahatonga,"[""faha"", ""tonga""]"
fahatongavana,"[""faha"", ""tonga"", ""ana""]"
fahatontosana,"[""faha"", ""tontosa"", ""na""]"
fahatoranana,"[""faha"", ""torana"", ""na""]"
fahatoriana,"[""faha"", ""tory"", ""ana""]"
fahatorotoroana,"[""faha"", ""toro"", ""toro"", ""ana""]"
fahatrarana,"[""faha"", ""tratra"", ""ana""]"
fahatrotrahana,"[""faha"", ""trotraka"", ""ana""]"
fahatsapana,"[""faha"", ""tsapa"", ""na""]"
fahatsara,"[""faha"", ""tsara""]"
fahatsarana,"[""faha"", ""tsara"", ""na""]"
fahatsembohana,"[""faha"", ""tsemboka"", ""ana""]"
fahatsiahy,"[""faha"", ""tsiahy""]"
fahatsiaro,"[""faha"", ""tsiaro""]"
fahatsiarovana,"[""faha"", ""tsiaro"", ""ana""]"
fahatsiravina,"[""faha"", ""tsiravina""]"
fahatsontsana,"[""faha"", ""tsontsa"", ""na""]"
fahatsorana,"[""faha"", ""tsotra"", ""ana""]"
fahavalo,"[""faha"", ""valo""]"
fahavanona,"[""faha"", ""vanona""]"
fahavanonana,"[""faha"", ""vanona"", ""na""]"
fahavarana,"[""faha"", ""vatra"", ""ana""]"
fahavariana,"[""faha"", ""variana""]"
fahavarianana,"[""faha"", ""variana"", ""na""]"
fahavatra,"[""faha"", ""vatra""]"
fahavelomana,"[""faha"", ""velona"", ""ana""]"
fahaverezana,"[""faha"", ""very"", ""ana""]"
fahavesarana,"[""faha"", ""vesatra"", ""ana""]"
fahavetavetana,"[""faha"", ""veta"", ""veta"", ""na""]"
fahavinirana,"[""faha"", ""vinitra"", ""ana""]"
fahavirjiniana,"[""faha"", ""virjiny"", ""ana""]"
fahavita,"[""faha"", ""vita""]"
fahavitana,"[""faha"", ""vita"", ""na""]"
fahavitrihana,"[""faha"", ""vitrika"", ""ana""]"
fahavitsiana,"[""faha"", ""vitsy"", ""ana""]"
fahavitsy,"[""faha"", ""vitsy""]"
fahavizanana,"[""faha"", ""vizana"", ""na""]"
fahavodivodiana,"[""faha"", ""vodivodiana""]"
fahavokarana,"[""faha"", ""vokatra"", ""ana""]"
fahavokatra,"[""faha"", ""vokatra""]"
fahavoly,"[""faha"", ""voly""]"
fahavononana,"[""faha"", ""vonona"", ""na""]"
fahavoriana,"[""faha"", ""vory"", ""ana""]"
fahavotsana,"[""faha"", ""votsa"", ""na""]"
fahay,"[""fa"", ""hay""]"
fahazaka,"[""faha"", ""zaka""]"
fahazakana,"[""faha"", ""zaka"", ""na""]"
fahazarana,"[""faha"", ""zatra"", ""ana""]"
fahazato,"[""faha"", ""zato""]"
fahazava,"[""faha"", ""zava""]"
fahazavana,"[""faha"", ""zava"", ""na""]"
fahazaza,"[""faha"", ""zaza""]"
fahazazana,"[""faha"", ""zaza"", ""na""]"
fahazo,"[""faha"", ""azo""]"
fahazokiana,"[""faha"", ""zoky"", ""ana""]"
fahazotoana,"[""faha"", ""zoto"", ""ana""]"
fahefa,"[""faha"", ""efa""]"
fahefana,"[""faha"", ""efa"", ""na""]"
fahefatra,"[""faha"", ""efatra""]"
fahelana,"[""faha"", ""ela"", ""na""]"
fahemotse,"[""fa"", ""hemotse""]"
fahenina,"[""faha"", ""enina""]"
faheno,"[""fa"", ""heno""]"
fahere,"[""fa"", ""here""]"
fahia,"[""fa"", ""hia""]"
fahiazana,"[""fa"", ""hia"", ""ana""]"
fahihirana,"[""fa"", ""hihitra"", ""ana""]"
fahihitra,"[""fa"", ""hihitra""]"
fahila,"[""fa"", ""hila""]"
fahily,"[""fa"", ""hily""]"
fahimpa,"[""fa"", ""himpa""]"
fahipahitra,"[""fahitra"", ""fahitra""]"
fahiraika,"[""faha"", ""iraika""]"
fahiratra,"[""fa"", ""hiratra""]"
fahita,"[""fa"", ""hita""]"
fahitana,"[""fa"", ""hita"", ""na""]"
fahitsy,"[""fa"", ""hitsy""]"
fahivana,"[""faha"", ""iva"", ""na""]"
fahoana,"[""faho"", ""ana""]"
fahofa,"[""fa"", ""hofa""]"
fahofaho,"[""faho"", ""faho""]"
fahohoke,"[""fa"", ""hohoke""]"
fahomby,"[""faha"", ""omby""]"
fahonena,"[""faha"", ""onena""]"
fahononana,"[""faha"", ""onona"", ""na""]"
fahontsana,"[""fa"", ""hontsa"", ""na""]"
fahoriana,"[""faha"", ""ory"", ""ana""]"
fahoro,"[""fa"", ""horo""]"
fahosana,"[""faha"", ""osa"", ""na""]"
fahosotse,"[""fa"", ""hosotse""]"
fahota,"[""faha"", ""ota""]"
fahotana,"[""faha"", ""ota"", ""na""]"
fahoviana,"[""faha"", ""oviana""]"
faifikifike,"[""fa"", ""ifikifike""]"
faikaina,"[""faika"", ""ina""]"
faikana,"[""faika"", ""ana""]"
faike,"[""fa"", ""ike""]"
faingohina,"[""faingoka"", ""ina""]"
faingopaingoka,"[""faingoka"", ""faingoka""]"
fairina,"[""faitra"", ""ina""]"
faisy,"[""fa"", ""isy""]"
faizana,"[""fay"", ""ana""]"
faizina,"[""fay"", ""ina""]"
fajano,"[""fa"", ""jano""]"
faka,"[""f"", ""aka""]"
fakaboke,"[""fa"", ""kaboke""]"
fakafaka,"[""f"", ""aka"", ""f"", ""aka""]"
fakafakaina,"[""f"", ""aka"", ""f"", ""aka"", ""ina""]"
fakafakana,"[""f"", ""aka"", ""f"", ""aka"", ""ana""]"
fakafitse,"[""fa"", ""kafitse""]"
fakaina,"[""f"", ""aka"", ""ina""]"
fakana,"[""f"", ""aka"", ""na""]"
fakapike,"[""fa"", ""kapike""]"
fakofako,"[""fako"", ""fako""]"
fakoina,"[""fako"", ""ina""]"
falahatse,"[""fa"", ""lahatse""]"
falahelo,"[""f"", ""alahelo""]"
falaka,"[""f"", ""a"", ""laka""]"
falake,"[""fa"", ""lake""]"
falalake,"[""fa"", ""lalake""]"
falamake,"[""fa"", ""lamake""]"
falanana,"[""falana"", ""ana""]"
falatsake,"[""fa"", ""latsake""]"
falazo,"[""fa"", ""lazo""]"
falefa,"[""fa"", ""lefa""]"
faleha,"[""fa"", ""leha""]"
faleme,"[""fa"", ""leme""]"
falentsa,"[""fa"", ""lentsa""]"
falezina,"[""faly"", ""ina""]"
falifaliana,"[""faly"", ""faly"", ""ana""]"
falifalina,"[""faly"", ""faly"", ""ina""]"
falifaly,"[""faly"", ""faly""]"
falina,"[""faly"", ""ina""]"
falinike,"[""fa"", ""linike""]"
falisa,"[""fa"", ""lisa""]"
falitso,"[""fa"", ""litso""]"
famabo,"[""fan"", ""babo""]"
famadiditra,"[""fan"", ""va"", ""diditra""]"
famadika,"[""fan"", ""vadika""]"
famafa,"[""fan"", ""fafa""]"
famafana,"[""fan"", ""fafa"", ""na""]"
famafanana,"[""fan"", ""fafa"", ""ana"", ""na""]"
famafy,"[""fan"", ""fafy""]"
famaha,"[""fan"", ""vaha""]"
famahana,"[""fan"", ""vaha"", ""na""]"
famahanana,"[""fan"", ""fahana"", ""na""]"
famaharana,"[""fan"", ""fahatra"", ""ana""]"
famahavahana,"[""fan"", ""vaha"", ""vaha"", ""na""]"
famahoaka,"[""fan"", ""vahoaka""]"
famahoana,"[""fan"", ""faho"", ""ana""]"
famahotra,"[""fan"", ""vahotra""]"
famahy,"[""fan"", ""fahy""]"
famaika,"[""fan"", ""vaika""]"
famaikana,"[""fan"", ""vaika"", ""na""]"
famaingavainga,"[""fan"", ""vainga"", ""vainga""]"
famaingavaingana,"[""fan"", ""vainga"", ""vainga"", ""na""]"
famaingohana,"[""fan"", ""faingoka"", ""ana""]"
famaingoka,"[""fan"", ""faingoka""]"
famaizana,"[""fan"", ""fay"", ""ana""]"
famaka,"[""fan"", ""f"", ""aka""]"
famakafakana,"[""fan"", ""f"", ""aka"", ""f"", ""aka"", ""na""]"
famakana,"[""fan"", ""f"", ""aka"", ""na""]"
famakiana,"[""fan"", ""vaky"", ""ana""]"
famaky,"[""fan"", ""vaky""]"
famala,"[""fan"", ""vala""]"
famalana,"[""fan"", ""vala"", ""na""]"
famalanana,"[""fan"", ""vala"", ""ana"", ""na""]"
famalavala,"[""fan"", ""valavala""]"
famalavalana,"[""fan"", ""valavala"", ""na""]"
famaliana,"[""fan"", ""valy"", ""ana""]"
famalona,"[""fan"", ""valona""]"
famalonana,"[""fan"", ""valona"", ""na""]"
famalongana,"[""fan"", ""v"", ""al"", ""ongana""]"
famaly,"[""fan"", ""valy""]"
famamba,"[""fan"", ""vamba""]"
famana,"[""fana"", ""ana""]"
famanavana,"[""fan"", ""vanavana""]"
famanavanana,"[""fan"", ""vanavana"", ""na""]"
famanditra,"[""fan"", ""vanditra""]"
famandrahana,"[""fan"", ""fandraka"", ""ana""]"
famandraka,"[""fan"", ""fandraka""]"
famandravandra,"[""fan"", ""vandravandra""]"
famandravandrana,"[""fan"", ""vandravandra"", ""na""]"
famandrihana,"[""fan"", ""fandrika"", ""ana""]"
famandrika,"[""fan"", ""fandrika""]"
famangiana,"[""fan"", ""vangy"", ""ana""]"
famangitra,"[""fan"", ""fangitra""]"
famango,"[""fan"", ""vango""]"
famangoana,"[""fan"", ""vango"", ""ana""]"
famangohana,"[""fan"", ""fangoka"", ""ana""]"
famangoka,"[""fan"", ""fangoka""]"
famangopangohana,"[""fan"", ""fangoka"", ""fangoka"", ""ana""]"
famangotra,"[""fan"", ""fangotra""]"
famangy,"[""fan"", ""vangy""]"
famankona,"[""fan"", ""vankona""]"
famankonana,"[""fan"", ""vankona"", ""na""]"
famantana,"[""fan"", ""vantana""]"
famantanana,"[""fan"", ""vantana"", ""na""]"
famantarana,"[""fan"", ""fantatra"", ""ana""]"
famantatra,"[""fan"", ""fantatra""]"
famantohana,"[""fan"", ""fantoka"", ""ana""]"
famantoka,"[""fan"", ""fantoka""]"
famantsihana,"[""fan"", ""fantsika"", ""ana""]"
famantsika,"[""fan"", ""fantsika""]"
famantsonana,"[""fan"", ""fantsona"", ""na""]"
famany,"[""f"", ""amany""]"
famaohana,"[""fan"", ""faoka"", ""ana""]"
famaoka,"[""fan"", ""faoka""]"
famarafara,"[""fan"", ""farafara""]"
famarafarana,"[""fan"", ""farafara"", ""na""]"
famaraingo,"[""fan"", ""faraingo""]"
famaraingoana,"[""fan"", ""faraingo"", ""ana""]"
famarana,"[""fan"", ""fatra"", ""ana""]"
famaranana,"[""fan"", ""fara"", ""ana"", ""na""]"
famarara,"[""fan"", ""farara""]"
famarina,"[""fan"", ""vatra"", ""ina""]"
famarinana,"[""fan"", ""vatra"", ""ina"", ""na""]"
famaritra,"[""fan"", ""faritra""]"
famaritsohana,"[""fan"", ""fa"", ""ritsoka"", ""ana""]"
famaritsoka,"[""fan"", ""fa"", ""ritsoka""]"
famarivary,"[""fan"", ""varivary""]"
famasavasa,"[""fan"", ""vasavasa""]"
famasavasana,"[""fan"", ""vasavasa"", ""na""]"
famasoka,"[""fan"", ""vasoka""]"
famato,"[""fan"", ""vato""]"
famato,"[""fan"", ""ato""]"
famatona,"[""fa"", ""matona""]"
famatorana,"[""fan"", ""fatotra"", ""ana""]"
famatotra,"[""fan"", ""fatotra""]"
famatovato,"[""fan"", ""vato"", ""vato""]"
famatra,"[""fan"", ""fatra""]"
famatrarana,"[""fan"", ""fatratra"", ""ana""]"
famatratra,"[""fan"", ""fatratra""]"
famatravatrana,"[""fan"", ""vatravatra"", ""na""]"
famatsavatsa,"[""fan"", ""vatsavatsa""]"
famatsavatsana,"[""fan"", ""vatsavatsa"", ""na""]"
famatsiana,"[""fan"", ""vatsy"", ""ana""]"
famatsy,"[""fan"", ""vatsy""]"
famava,"[""fan"", ""vava""]"
famavana,"[""fan"", ""vava"", ""na""]"
famavatra,"[""fan"", ""vavatra""]"
famavy,"[""fan"", ""vavy""]"
famazana,"[""fan"", ""vazana""]"
famazanana,"[""fan"", ""vazana"", ""na""]"
famazivaziana,"[""fan"", ""vazivazy"", ""ana""]"
famazivazy,"[""fan"", ""vazivazy""]"
fambaka,"[""f"", ""ambaka""]"
fambango,"[""fan"", ""bango""]"
fambangoana,"[""fan"", ""bango"", ""ana""]"
fambara,"[""f"", ""ambara""]"
fambata,"[""fan"", ""bata""]"
fambatana,"[""fan"", ""bata"", ""na""]"
fambeda,"[""fan"", ""beda""]"
fambedana,"[""fan"", ""beda"", ""na""]"
fambilabila,"[""fan"", ""bila"", ""bila""]"
fambilabilana,"[""fan"", ""bila"", ""bila"", ""na""]"
fambitsihana,"[""fan"", ""bitsika"", ""ana""]"
fambitsika,"[""fan"", ""bitsika""]"
famboana,"[""fan"", ""boana""]"
famboanana,"[""fan"", ""boana"", ""na""]"
famboatra,"[""fan"", ""voatra""]"
famboba,"[""fan"", ""boba""]"
fambobana,"[""fan"", ""boba"", ""na""]"
famboly,"[""fan"", ""voly""]"
fambomba,"[""fa"", ""mbomba""]"
fambombana,"[""fa"", ""mbomba"", ""na""]"
fambonoka,"[""fan"", ""bonoka""]"
famborahana,"[""fan"", ""boraka"", ""ana""]"
famboraka,"[""fan"", ""boraka""]"
fambosibosika,"[""fan"", ""bosika"", ""bosika""]"
fambosika,"[""fan"", ""bosika""]"
fambosy,"[""f"", ""ambosy""]"
fambotriana,"[""fan"", ""botry"", ""ana""]"
fambotry,"[""fan"", ""botry""]"
famefika,"[""fan"", ""fefika""]"
famefy,"[""fan"", ""fefy""]"
famela,"[""fan"", ""vela""]"
famelana,"[""fan"", ""vela"", ""na""]"
famelapelatra,"[""fan"", ""pelatra"", ""pelatra""]"
famelatra,"[""fan"", ""velatra""]"
famelipelika,"[""fan"", ""felika"", ""felika""]"
famelona,"[""fan"", ""velona""]"
famely,"[""fan"", ""vely""]"
famempina,"[""fan"", ""fempina""]"
famenavena,"[""fan"", ""venavena""]"
famendrampendrana,"[""fan"", ""pendrampendrana""]"
famendrana,"[""fan"", ""vendrana""]"
famendranana,"[""fan"", ""vendrana"", ""na""]"
famendrivendrena,"[""fan"", ""vendrivendry"", ""ana""]"
famendrivendry,"[""fan"", ""vendrivendry""]"
famendrofendro,"[""fan"", ""fendrofendro""]"
famendrofendroana,"[""fan"", ""fendrofendro"", ""ana""]"
famenja,"[""fan"", ""fenja""]"
famenjana,"[""fan"", ""fenja"", ""na""]"
fameno,"[""fan"", ""feno""]"
famenoana,"[""fan"", ""feno"", ""ana""]"
famentimpentina,"[""fan"", ""pentimpentina""]"
famepetra,"[""fan"", ""petra"", ""petra""]"
fameraka,"[""fan"", ""veraka""]"
famerana,"[""fan"", ""fetra"", ""ana""]"
fameravera,"[""fan"", ""veravera""]"
fameraverana,"[""fan"", ""veravera"", ""na""]"
famerenana,"[""fan"", ""verina"", ""ana""]"
famerina,"[""fan"", ""verina""]"
famery,"[""fan"", ""very""]"
famesana,"[""fan"", ""fesana""]"
famesanana,"[""fan"", ""fesana"", ""na""]"
famesatra,"[""fan"", ""vesatra""]"
fameta,"[""fan"", ""veta""]"
fametafeta,"[""fan"", ""feta"", ""feta""]"
fametafetana,"[""fan"", ""feta"", ""feta"", ""na""]"
fametaka,"[""fan"", ""fetaka""]"
fametaka,"[""fan"", ""petaka""]"
fametana,"[""fan"", ""feta"", ""na""]"
fametana,"[""fan"", ""veta"", ""na""]"
fametavetana,"[""fan"", ""veta"", ""veta"", ""na""]"
fametra,"[""fan"", ""fetra""]"
fametraka,"[""fan"", ""petraka""]"
fametrika,"[""fan"", ""fetrika""]"
fametsahana,"[""fan"", ""fetsaka"", ""ana""]"
fametsaka,"[""fan"", ""fetsaka""]"
fametsapetsa,"[""fan"", ""petsa"", ""petsa""]"
fametsivetsena,"[""fan"", ""vetsivetsy"", ""ana""]"
fametsivetsy,"[""fan"", ""vetsivetsy""]"
fametsovetso,"[""fan"", ""vetso"", ""vetso""]"
fametsovetsoana,"[""fan"", ""vetso"", ""vetso"", ""ana""]"
fametsy,"[""fan"", ""fetsy""]"
famezaka,"[""fa"", ""m"", ""ezaka""]"
famezatra,"[""fan"", ""vezatra""]"
famezaveza,"[""fan"", ""vezaveza""]"
famezavezana,"[""fan"", ""vezaveza"", ""na""]"
famezivezena,"[""fan"", ""vezivezy"", ""ana""]"
famezivezy,"[""fan"", ""vezivezy""]"
famezovezo,"[""fan"", ""vezovezo""]"
famezovezoana,"[""fan"", ""vezovezo"", ""ana""]"
famia,"[""fan"", ""fia""]"
famiaka,"[""fan"", ""piaka""]"
famihina,"[""fan"", ""fihina""]"
famihinana,"[""fan"", ""fihina"", ""na""]"
famihirana,"[""fan"", ""fihitra"", ""ana""]"
famihitra,"[""fan"", ""fihitra""]"
famikavika,"[""fan"", ""vikavika""]"
famikavikana,"[""fan"", ""vikavika"", ""na""]"
famikina,"[""fan"", ""vikina""]"
famikinana,"[""fan"", ""vikina"", ""na""]"
famikirana,"[""fan"", ""fi"", ""kitra"", ""ana""]"
familafila,"[""fan"", ""filafila""]"
familafilana,"[""fan"", ""filafila"", ""na""]"
familavila,"[""fan"", ""vilavila""]"
familavilana,"[""fan"", ""vilavila"", ""na""]"
familiana,"[""fan"", ""vily"", ""ana""]"
familina,"[""fan"", ""vilina""]"
familinana,"[""fan"", ""vilina"", ""na""]"
family,"[""fan"", ""vily""]"
faminaniana,"[""fan"", ""vinany"", ""ana""]"
faminany,"[""fan"", ""vinany""]"
faminavina,"[""fan"", ""vinavina""]"
faminavinana,"[""fan"", ""vinavina"", ""na""]"
famindra,"[""fan"", ""findra""]"
famindrana,"[""fan"", ""findra"", ""na""]"
famindro,"[""fa"", ""mindro""]"
famingafinga,"[""fan"", ""finga"", ""finga""]"
famingafingana,"[""fan"", ""finga"", ""finga"", ""na""]"
famingana,"[""fan"", ""fingana""]"
faminganana,"[""fan"", ""fingana"", ""na""]"
famingavinga,"[""fan"", ""vingavinga""]"
famingavingana,"[""fan"", ""vingavinga"", ""na""]"
famingitra,"[""fan"", ""vingitra""]"
famingivingiana,"[""fan"", ""vingy"", ""vingy"", ""ana""]"
famingivingy,"[""fan"", ""vingy"", ""vingy""]"
famingorana,"[""fan"", ""fingotra"", ""ana""]"
